M_fuel_sim,M_air_sim,eta_c,Q_gross,X_res,Diesel_fuel,Ammonia_fuel,Fresh_air,CA50,Var10,DI_duration
8.16783853113903e-05,0.00165338321542694,0.492292584051419,848.693115330687,0.0320565111517427,8.05518680423013e-06,7.20789801229777e-05,0.00159474312156078,7,43.8,0.416666666666667
8.1660594278187e-05,0.00165321687549144,0.46778994899784,806.202098019144,0.0306989933553781,8.06296016456527e-06,7.20265125903311e-05,0.00159390203435051,8.19999999999999,43.8,0.416666666666667
8.16155676223233e-05,0.00165236975332998,0.465191565506483,802.916978536025,0.0339685650716759,8.07073352490041e-06,7.19740450576844e-05,0.00159306094714024,7.39999999999998,43.8,0.416666666666667
8.15700319799121e-05,0.0016514986561833,0.451793312072037,779.650794167502,0.033422118361304,8.06787611377128e-06,7.19499248174648e-05,0.00159302209438052,8.80000000000001,43.8,0.416666666666667
8.15422033463879e-05,0.00165142895631879,0.493610356533134,850.461033061498,0.0337326606825571,8.06107442347697e-06,7.19363221239055e-05,0.00159328089044522,8.39999999999998,43.8,0.416666666666667
8.15212788936422e-05,0.00165168489981849,0.430588281973137,745.867157784141,0.0398329849034587,8.05412372708365e-06,7.19209314474449e-05,0.0015935,8.80000000000001,43.8,0.416666666666667
8.14985464790597e-05,0.00165191252761084,0.469773034330335,808.124122049294,0.0308514807973128,8.04635036676554e-06,7.18956693023612e-05,0.0015935,7,43.8,0.416666666666667
8.14650861442586e-05,0.00165192003792919,0.483459819082857,830.433735161644,0.0297529096056934,8.03857700644743e-06,7.18704071572775e-05,0.0015935,7.60000000000002,43.8,0.416666666666667
8.14314253232361e-05,0.00165191976586705,0.466996351332711,806.000866095456,0.0378228405977226,8.03473039515678e-06,7.18709480596637e-05,0.00159387352009338,7,43.8,0.416666666666667
8.14274905519712e-05,0.00165229274158945,0.432790046692528,750.495233389537,0.0433476248199203,8.03375872511838e-06,7.18903804789475e-05,0.00159452051025513,6.80000000000001,43.8,0.416666666666667
8.14458777671665e-05,0.00165295256709379,0.36503806400693,630.829938160996,0.0331281565848886,8.03278329862365e-06,7.19098930319202e-05,0.0015951664165416,8.19999999999999,43.8,0.416666666666667
8.14647585188039e-05,0.00165362158303544,0.394464430715815,682.403600411275,0.0351614420339058,8.02889661847311e-06,7.19915091937358e-05,0.00159497231949308,9.19999999999999,43.8,0.416666666666667
8.15428408489685e-05,0.00165345092130034,0.467280030312354,811.777110554788,0.0336799634272119,8.28819462513927e-06,7.20731253555513e-05,0.00159477822244456,8.39999999999998,43.8,0.444444444444443
8.18852142407679e-05,0.00165325216353924,0.394912744658435,688.746036710486,0.0345441128477289,8.29001817904125e-06,7.21506400510762e-05,0.00159518912973306,8.80000000000001,43.8,0.444444444444443
8.19709508550436e-05,0.00165366163883635,0.362218106415243,629.980642787758,0.0374072686226809,8.03618044304571e-06,7.22226115527656e-05,0.0015964177095498,7.80000000000001,43.8,0.416666666666667
8.17906868893488e-05,0.00165490574131217,0.394437777132067,687.032637497519,0.0399753988318109,8.04893972316413e-06,7.22945830544551e-05,0.00159764628936653,8.39999999999998,43.8,0.417014178482068
