M_diesel_sim,M_NH3_sim,M_air_sim,Diesel_fuel,NH3_fuel,Fresh_air,Q_gross,CA50,DI_timing,X_res
6.93244479695748e-06,6.88959874994185e-05,0.00164554106922512,6.80000019073486e-06,6.75797271898256e-05,0.001594,821.790378634969,5.60000000000002,39.8,0.0368655470154491
6.93244479695748e-06,6.88959874994185e-05,0.00164554106922512,6.80000019073486e-06,6.75655555123831e-05,0.00159328607386565,809.364073496353,5.80000000000001,39.8,0.0287353808644262
6.98824841235148e-06,6.9436403027675e-05,0.00166471290973332,6.80000019073486e-06,6.75513838349406e-05,0.0015925721477313,669.876741961081,7,40,0.041963299820991
6.94005507574518e-06,6.89429925568604e-05,0.001645647015,6.80000019073486e-06,6.75505796562969e-05,0.00159248815642137,816.973589507856,6.19999999999999,39.8,0.0379630912423784
6.90706729820847e-06,6.86141917909376e-05,0.00163238632925035,6.80000019073486e-06,6.75667076427985e-05,0.00159320208255572,815.548529719789,7.39999999999998,39.8,0.0362588893314318
6.93364886886402e-06,6.88943617162049e-05,0.00164643242920882,6.80000019073486e-06,6.75828356293e-05,0.00159391600869008,773.27992342662,5.39999999999998,39.8,0.0398404758255185
6.93502105601115e-06,6.89244346210447e-05,0.00164735624598237,6.80000019073486e-06,6.76192561406568e-05,0.00159497701149425,777.566465259407,6.80000000000001,39.8,0.037230917655267
6.88920126660689e-06,6.85057903951907e-05,0.00163002402120767,6.80000019073486e-06,6.76583823219942e-05,0.00159608429118774,804.324260798986,6.19999999999999,39.8,0.0355645582811725
6.99530849847516e-06,6.96005160287491e-05,0.00167182809724086,6.80000019073486e-06,6.7692445115205e-05,0.00159683333333333,787.636274290496,6.19999999999999,39.8,0.0289694672198313
6.94542647628055e-06,6.91393783734495e-05,0.00165059875625928,6.80000019073486e-06,6.77159208241511e-05,0.00159683333333333,772.370624420434,6.39999999999998,39.8,0.0427148208664504
6.96119013363824e-06,6.93205123478612e-05,0.0016555224355597,6.80000019073486e-06,6.77393965330971e-05,0.00159683333333333,767.570844971645,6.19999999999999,39.8,0.0316046148004394
6.94164111865177e-06,6.91498768538659e-05,0.0016495295134812,6.80000019073486e-06,6.77464162303837e-05,0.00159703256704981,808.70062271447,5.60000000000002,39.8,0.0492391793352408
6.93493315454266e-06,6.90905649225087e-05,0.00164817308078085,6.80000019073486e-06,6.77483725394674e-05,0.00159729310344828,772.255223944821,5.60000000000002,39.8,0.04207434539265
6.94582369888415e-06,6.92011664356014e-05,0.00165163208808308,6.80000019073486e-06,6.77523426961405e-05,0.0015975,749.644738352842,8.19999999999999,39.8,0.0407101757030366
6.97449858843099e-06,6.94908683462597e-05,0.0016638108929678,6.80000019073486e-06,6.77640805506584e-05,0.0015975,841.760771071299,6,39.8,0.0335791618637907
6.9355558885901e-06,6.91146985246687e-05,0.00164827395507453,6.80000019073486e-06,6.77758184051763e-05,0.0015975,770.426940234029,6.19999999999999,39.8,0.0333287044796842
6.92079728888969e-06,6.89795943037111e-05,0.00164459701998862,6.80000019073486e-06,6.77748977891338e-05,0.00159716283524904,749.031353247725,6.80000000000001,39.8,0.0459596490502827
