M_diesel_sim,M_NH3_sim,M_air_sim,Diesel_fuel,NH3_fuel,Fresh_air,Q_gross,CA50,DI_timing,X_res
8.7519157706671e-06,7.04546136025794e-05,0.00166019774098317,8.59999942779541e-06,6.92316576787102e-05,0.001603,995.877946373727,3.39999999999998,41.8,0.0329138037552258
8.7519157706671e-06,7.04546136025794e-05,0.00166019774098317,8.59999942779541e-06,6.92432027028e-05,0.00160280780780781,954.029257751315,3.80000000000001,41.8,0.0337034369161115
8.71744726616327e-06,7.0188680503032e-05,0.00164592348545697,8.59999942779541e-06,6.92547477268899e-05,0.00160261561561562,985.777888767071,3.19999999999999,41.8,0.0409534363333382
8.72912599579832e-06,7.02944125679022e-05,0.00164997334153947,8.59999942779541e-06,6.92448262218645e-05,0.00160255105105105,991.97322907512,3.60000000000002,41.8,0.0337526283862546
8.71517456373242e-06,7.01723152427605e-05,0.00164431580097972,8.59999942779541e-06,6.92024944669986e-05,0.00160267917917918,1003.04466233252,5,41.8,0.0336513049815863
8.74409364226761e-06,7.03627035447007e-05,0.00165610383962914,8.59999942779541e-06,6.91601627121326e-05,0.00160280730730731,979.128792821983,3.80000000000001,41.8,0.0462600517122351
8.69409399235917e-06,6.99173307186101e-05,0.00163751785385628,8.59999942779541e-06,6.91684306329692e-05,0.00160268018018018,986.686283477496,3.80000000000001,41.8,0.0397299886822707
8.73154906111632e-06,7.02263441115782e-05,0.00165084038227776,8.59999942779541e-06,6.91895965103575e-05,0.00160248798798799,1004.99155948742,3.80000000000001,41.8,0.0296621501841057
8.72735499727346e-06,7.02138954044128e-05,0.00164994557995131,8.59999942779541e-06,6.92111382023499e-05,0.00160233333333333,972.958227193778,3.19999999999999,41.8,0.0384430838708113
8.75572636181603e-06,7.04640028629933e-05,0.0016592038931767,8.59999942779541e-06,6.92342282505119e-05,0.00160233333333333,1000.96757524838,4.60000000000002,41.8,0.0373475682990458
8.74659410208963e-06,7.04139873158723e-05,0.00165561303233933,8.59999942779541e-06,6.92573182986738e-05,0.00160233333333333,972.417974989657,4,41.8,0.0298936606341244
8.73906815311564e-06,7.03768836227802e-05,0.00165180017207797,8.59999942779541e-06,6.92952605394764e-05,0.00160214314314314,992.330439822226,4.80000000000001,41.8,0.0489724625869873
8.72901506588068e-06,7.03342407131015e-05,0.0016472878312843,8.59999942779541e-06,6.93433648068226e-05,0.00160182282282282,983.386885168325,4,41.8,0.0344120650505109
8.72425158717675e-06,7.03445294538179e-05,0.00164705989646114,8.59999942779541e-06,6.93914690741687e-05,0.0016015025025025,1001.69939554563,3.19999999999999,41.8,0.0301509972525703
8.72507516969257e-06,7.03999675249441e-05,0.00164560550870973,8.59999942779541e-06,6.93880266125199e-05,0.0016015,1002.63974321472,4,41.8,0.0339555144633969
8.73257175612225e-06,7.04577122516001e-05,0.00164999339484668,8.59999942779541e-06,6.93841782711152e-05,0.0016015,986.393172821539,3.80000000000001,41.8,0.0415425566263947
8.71422674348985e-06,7.03058077252137e-05,0.00164265293148151,8.59999942779541e-06,6.93848397047952e-05,0.0016016001001001,974.367425557121,4.19999999999999,41.8,0.0362294469633044
8.72321471941993e-06,7.03789325665895e-05,0.00164766021898478,8.59999942779541e-06,6.93925363876076e-05,0.00160185635635636,981.554029303836,2.80000000000001,41.8,0.0298429344712245
