M_diesel_sim,M_NH3_sim,M_air_sim,Diesel_fuel,NH3_fuel,Fresh_air,Q_gross,CA50,DI_timing,X_res
7.91197603485937e-06,7.01595285704859e-05,0.00163171136452742,7.80000019073486e-06,6.91665816251914e-05,0.0015915,893.48231892566,4.60000000000002,41.8,0.0364620708895853
7.91197603485937e-06,7.01595285704859e-05,0.00163171136452742,7.80000019073486e-06,6.9190020724003e-05,0.00159176013006503,844.13087635369,6,41.8,0.0400191117576616
7.93048906270489e-06,7.0347132133438e-05,0.00164055725507878,7.80000019073486e-06,6.92134598228147e-05,0.00159202026013007,881.18705089886,6.60000000000002,41.8,0.0352921303346266
7.90491387030265e-06,7.01440930310324e-05,0.00162733268912803,7.80000019073486e-06,6.91489447061856e-05,0.00159205294313824,842.570733561143,5.19999999999999,41.8,0.0329540397476201
7.9485241284623e-06,7.04668688576968e-05,0.00164378192728156,7.80000019073486e-06,6.89711982095608e-05,0.0015917928130732,831.045528744465,6.19999999999999,41.8,0.0324468813861117
7.95637885483074e-06,7.03575580717052e-05,0.00164465275376541,7.80000019073486e-06,6.8793451712936e-05,0.00159153268300817,907.731379206621,6,41.8,0.0328563656909074
7.95954142309632e-06,7.02042607914765e-05,0.00164504237437065,7.80000019073486e-06,6.87796587048574e-05,0.00159115882941471,894.547207482248,7.19999999999999,41.8,0.0330925184202843
7.9301545315928e-06,6.99276380673643e-05,0.00163564643101022,7.80000019073486e-06,6.87894249957195e-05,0.00159076863431716,826.808307959556,7.39999999999998,41.8,0.0341775089183337
7.94736242526954e-06,7.00888565465533e-05,0.00164184336059368,7.80000019073486e-06,6.87979742564924e-05,0.0015905,894.538382077622,5.39999999999998,41.8,0.038221551218047
7.91209015957843e-06,6.97865107452278e-05,0.00163044447866244,7.80000019073486e-06,6.88038340310186e-05,0.0015905,832.20590804135,6.60000000000002,41.8,0.0432840752597117
7.92066587132062e-06,6.98681339372304e-05,0.001633974020287,7.80000019073486e-06,6.88096938055449e-05,0.0015905,890.230606588862,6.39999999999998,41.8,0.0327565967184909
7.95312852854998e-06,7.01604377189815e-05,0.00164734748386966,7.80000019073486e-06,6.88111662617079e-05,0.00159074345506086,870.61705223637,6,41.8,0.0294157774237335
7.91079981839338e-06,6.97886118477707e-05,0.00163028184300108,7.80000019073486e-06,6.88111662617079e-05,0.00159106861764215,839.40670439583,5.19999999999999,41.8,0.0423686880032519
7.93712266595225e-06,7.00208526926932e-05,0.00164179536374169,7.80000019073486e-06,6.88089876275904e-05,0.0015914784058696,842.485091153141,5.19999999999999,41.8,0.0381942174728247
7.98272875712817e-06,7.0421008830823e-05,0.00165240934041241,7.80000019073486e-06,6.87972680785446e-05,0.0015922587960647,904.197468584643,6.39999999999998,41.8,0.0330445160335972
7.98190491284205e-06,7.04019717371075e-05,0.00165167638101521,7.80000019073486e-06,6.87855485294989e-05,0.0015930391862598,905.914267189379,6,41.8,0.0540503881720361
7.91833098292254e-06,6.98292493976743e-05,0.00163159607311107,7.80000019073486e-06,6.87920844318576e-05,0.00159365749541437,801.666231166799,7.19999999999999,41.8,0.0351718845110599
7.92311104103388e-06,6.98777599722752e-05,0.00163806256207766,7.80000019073486e-06,6.88096637554364e-05,0.00159417775554444,873.495048519454,6,41.8,0.0343791906433489
